변환,원자료
2010-01-04,1167.60 
2010-01-05,1156.20 
2010-01-06,1144.30 
2010-01-07,1138.20 
2010-01-08,1133.20 
2010-01-11,1132.90 
2010-01-12,1119.80 
2010-01-13,1124.20 
2010-01-14,1126.40 
2010-01-15,1122.10 
2010-01-18,1123.20 
2010-01-19,1126.90 
2010-01-20,1124.30 
2010-01-21,1132.30 
2010-01-22,1138.50 
2010-01-25,1150.10 
2010-01-26,1149.10 
2010-01-27,1151.20 
2010-01-28,1159.40 
2010-01-29,1156.50 
2010-02-01,1157.90 
2010-02-02,1167.80 
2010-02-03,1160.10 
2010-02-04,1152.20 
2010-02-05,1153.30 
2010-02-08,1171.00 
2010-02-09,1172.60 
2010-02-10,1166.60 
2010-02-11,1157.90 
2010-02-12,1157.10 
2010-02-16,1154.90 
2010-02-17,1152.90 
2010-02-18,1142.70 
2010-02-19,1147.50 
2010-02-22,1157.80 
2010-02-23,1149.30 
2010-02-24,1148.50 
2010-02-25,1156.10 
2010-02-26,1158.40 
2010-03-02,1160.20 
2010-03-03,1152.70 
2010-03-04,1146.60 
2010-03-05,1143.80 
2010-03-08,1141.90 
2010-03-09,1133.70 
2010-03-10,1134.50 
2010-03-11,1132.70 
2010-03-12,1131.00 
2010-03-15,1131.10 
2010-03-16,1133.90 
2010-03-17,1133.70 
2010-03-18,1129.50 
2010-03-19,1131.30 
2010-03-22,1132.90 
2010-03-23,1136.50 
2010-03-24,1134.30 
2010-03-25,1135.50 
2010-03-26,1141.20 
2010-03-29,1141.70 
2010-03-30,1138.60 
2010-03-31,1130.80 
2010-04-01,1132.50 
2010-04-02,1128.30 
2010-04-05,1124.30 
2010-04-06,1125.10 
2010-04-07,1123.10 
2010-04-08,1121.80 
2010-04-09,1123.20 
2010-04-12,1118.80 
2010-04-13,1113.00 
2010-04-14,1120.10 
2010-04-15,1115.70 
2010-04-16,1108.70 
2010-04-19,1113.20 
2010-04-20,1117.00 
2010-04-21,1115.80 
2010-04-22,1110.10 
2010-04-23,1110.50 
2010-04-26,1110.00 
2010-04-27,1104.00 
2010-04-28,1106.80 
2010-04-29,1118.90 
2010-04-30,1115.50 
2010-05-03,1108.50 
2010-05-04,1115.80 
2010-05-06,1114.60 
2010-05-07,1137.10 
2010-05-10,1158.70 
2010-05-11,1133.80 
2010-05-12,1130.10 
2010-05-13,1138.10 
2010-05-14,1131.00 
2010-05-17,1133.10 
2010-05-18,1149.90 
2010-05-19,1150.20 
2010-05-20,1165.10 
2010-05-24,1178.60 
2010-05-25,1212.00 
2010-05-26,1255.10 
2010-05-27,1252.90 
2010-05-28,1234.20 
2010-05-31,1200.20 
2010-06-01,1201.60 
2010-06-03,1208.90 
2010-06-04,1204.70 
2010-06-07,1201.10 
2010-06-08,1234.80 
2010-06-09,1233.50 
2010-06-10,1242.20 
2010-06-11,1261.50 
2010-06-14,1240.90 
2010-06-15,1225.00 
2010-06-16,1223.90 
2010-06-17,1211.00 
2010-06-18,1215.90 
2010-06-21,1205.90 
2010-06-22,1176.70 
2010-06-23,1182.60 
2010-06-24,1188.20 
2010-06-25,1185.20 
2010-06-28,1204.70 
2010-06-29,1200.40 
2010-06-30,1210.30 
2010-07-01,1230.10 
2010-07-02,1231.20 
2010-07-05,1221.20 
2010-07-06,1223.60 
2010-07-07,1228.60 
2010-07-08,1221.80 
2010-07-09,1211.20 
2010-07-12,1198.80 
2010-07-13,1197.50 
2010-07-14,1204.60 
2010-07-15,1199.20 
2010-07-16,1204.70 
2010-07-19,1201.10 
2010-07-20,1215.90 
2010-07-21,1211.80 
2010-07-22,1203.60 
