변환,원자료
"2010/01/04","3.500"
"2010/01/05","3.430"
"2010/01/06","3.460"
"2010/01/07","3.390"
"2010/01/08","3.380"
"2010/01/11","3.260"
"2010/01/12","3.240"
"2010/01/13","3.250"
"2010/01/14","3.240"
"2010/01/15","3.250"
"2010/01/18","3.270"
"2010/01/19","3.240"
"2010/01/20","3.240"
"2010/01/21","3.240"
"2010/01/22","3.220"
"2010/01/25","3.230"
"2010/01/26","3.200"
"2010/01/27","3.220"
"2010/01/28","3.250"
"2010/01/29","3.220"
"2010/02/01","3.220"
"2010/02/02","3.190"
"2010/02/03","3.170"
"2010/02/04","3.160"
"2010/02/05","3.130"
"2010/02/08","3.150"
"2010/02/09","3.140"
"2010/02/10","3.140"
"2010/02/11","3.100"
"2010/02/12","3.060"
"2010/02/16","3.060"
"2010/02/17","3.050"
"2010/02/18","3.060"
"2010/02/19","3.130"
"2010/02/22","3.140"
"2010/02/23","3.120"
"2010/02/24","3.110"
"2010/02/25","3.080"
"2010/02/26","3.070"
"2010/03/02","3.060"
"2010/03/03","3.030"
"2010/03/04","3.020"
"2010/03/05","3.010"
"2010/03/08","3.010"
"2010/03/09","2.990"
"2010/03/10","2.980"
"2010/03/11","2.880"
"2010/03/12","2.850"
"2010/03/15","2.840"
"2010/03/16","2.780"
"2010/03/17","2.730"
"2010/03/18","2.700"
"2010/03/19","2.700"
"2010/03/22","2.690"
"2010/03/23","2.750"
"2010/03/24","2.770"
"2010/03/25","2.700"
"2010/03/26","2.700"
"2010/03/29","2.710"
"2010/03/30","2.710"
"2010/03/31","2.700"
"2010/04/01","2.660"
"2010/04/02","2.650"
"2010/04/05","2.670"
"2010/04/06","2.670"
"2010/04/07","2.670"
"2010/04/08","2.640"
"2010/04/09","2.650"
"2010/04/12","2.680"
"2010/04/13","2.680"
"2010/04/14","2.700"
"2010/04/15","2.690"
"2010/04/16","2.670"
"2010/04/19","2.670"
"2010/04/20","2.670"
"2010/04/21","2.680"
"2010/04/22","2.680"
"2010/04/23","2.680"
"2010/04/26","2.680"
"2010/04/27","2.660"
"2010/04/28","2.650"
"2010/04/29","2.630"
"2010/04/30","2.650"
"2010/05/03","2.680"
"2010/05/04","2.690"
"2010/05/06","2.720"
"2010/05/07","2.690"
"2010/05/10","2.700"
"2010/05/11","2.680"
"2010/05/12","2.740"
"2010/05/13","2.750"
"2010/05/14","2.750"
"2010/05/17","2.760"
"2010/05/18","2.760"
"2010/05/19","2.760"
"2010/05/20","2.760"
"2010/05/24","2.740"
"2010/05/25","2.720"
"2010/05/26","2.740"
"2010/05/27","2.740"
"2010/05/28","2.750"
"2010/05/31","2.750"
"2010/06/01","2.750"
"2010/06/03","2.780"
"2010/06/04","2.800"
"2010/06/07","2.780"
"2010/06/08","2.780"
"2010/06/09","2.770"
"2010/06/10","2.790"
"2010/06/11","2.850"
"2010/06/14","2.890"
"2010/06/15","2.920"
"2010/06/16","2.930"
"2010/06/17","2.930"
"2010/06/18","2.940"
"2010/06/21","3.000"
"2010/06/22","3.020"
"2010/06/23","3.030"
"2010/06/24","3.030"
"2010/06/25","3.040"
"2010/06/28","3.110"
"2010/06/29","3.100"
"2010/06/30","3.090"
"2010/07/01","3.070"
"2010/07/02","3.080"
"2010/07/05","3.100"
"2010/07/06","3.100"
"2010/07/07","3.130"
"2010/07/08","3.150"
"2010/07/09","3.160"
"2010/07/12","3.180"
"2010/07/13","3.180"
"2010/07/14","3.200"
"2010/07/15","3.180"
"2010/07/16","3.170"
"2010/07/19","3.170"
"2010/07/20","3.160"
"2010/07/21","3.140"
"2010/07/22","3.120"
"2010/07/23","3.130"
"2010/07/26","3.150"
"2010/07/27","3.140"
"2010/07/28","3.140"
"2010/07/29","3.120"
"2010/07/30","3.120"
"2010/08/02","3.150"
"2010/08/03","3.150"
"2010/08/04","3.140"
"2010/08/05","3.160"
"2010/08/06","3.180"
"2010/08/09","3.200"
"2010/08/10","3.200"
"2010/08/11","3.170"
"2010/08/12","3.130"
"2010/08/13","3.120"
"2010/08/16","3.120"
"2010/08/17","3.130"
"2010/08/18","3.120"
"2010/08/19","3.110"
"2010/08/20","3.100"
"2010/08/23","3.110"
"2010/08/24","3.100"
"2010/08/25","3.100"
"2010/08/26","3.100"
"2010/08/27","3.110"
"2010/08/30","3.130"
"2010/08/31","3.130"
"2010/09/01","3.180"
"2010/09/02","3.170"
"2010/09/03","3.180"
"2010/09/06","3.190"
"2010/09/07","3.170"
"2010/09/08","3.160"
"2010/09/09","2.990"
"2010/09/10","2.990"
"2010/09/13","2.960"
"2010/09/14","2.920"
"2010/09/15","2.890"
"2010/09/16","2.870"
"2010/09/17","2.880"
"2010/09/20","2.910"
"2010/09/24","2.870"
"2010/09/27","2.860"
"2010/09/28","2.850"
"2010/09/29","2.840"
"2010/09/30","2.840"
"2010/10/01","2.820"
"2010/10/04","2.850"
"2010/10/05","2.840"
"2010/10/06","2.840"
"2010/10/07","2.840"
"2010/10/08","2.830"
"2010/10/11","2.840"
"2010/10/12","2.830"
"2010/10/13","2.850"
"2010/10/14","2.700"
"2010/10/15","2.690"
"2010/10/18","2.700"
"2010/10/19","2.780"
"2010/10/20","2.820"
"2010/10/21","2.840"
"2010/10/22","2.800"
"2010/10/25","2.790"
"2010/10/26","2.740"
"2010/10/27","2.770"
"2010/10/28","2.760"
"2010/10/29","2.780"
"2010/11/01","2.880"
"2010/11/02","2.900"
"2010/11/03","2.910"
"2010/11/04","2.970"
"2010/11/05","3.020"
"2010/11/08","3.010"
"2010/11/09","3.020"
"2010/11/10","3.000"
"2010/11/11","2.990"
"2010/11/12","2.980"
"2010/11/15","2.990"
"2010/11/16","2.900"
"2010/11/17","2.900"
